group_column,group_value,model,attack_rows,true_positive,false_negative,recall,false_negative_rate
attack_type,From-Botnet-V50-5-TCP-CC6-Plain-HTTP-Encrypted-Data,gru,1,1,0,1.0,0.0
attack_type,From-Botnet-V50-5-TCP-CC6-Plain-HTTP-Encrypted-Data,xgboost,1,1,0,1.0,0.0
attack_type,From-Botnet-V50-5-TCP-CC6-Plain-HTTP-Encrypted-Data,xgboost_gru,1,1,0,1.0,0.0
attack_type,From-Botnet-V50-5-TCP-Established-HTTP-Ad-25,gru,1,1,0,1.0,0.0
attack_type,From-Botnet-V50-5-TCP-Established-HTTP-Ad-25,xgboost,1,1,0,1.0,0.0
attack_type,From-Botnet-V50-5-TCP-Established-HTTP-Ad-25,xgboost_gru,1,1,0,1.0,0.0
attack_type,From-Botnet-V50-5-TCP-Established-HTTP-Ad-34,gru,1,1,0,1.0,0.0
attack_type,From-Botnet-V50-5-TCP-Established-HTTP-Ad-34,xgboost,1,1,0,1.0,0.0
attack_type,From-Botnet-V50-5-TCP-Established-HTTP-Ad-34,xgboost_gru,1,1,0,1.0,0.0
attack_type,From-Botnet-V50-9-TCP-CC6-Plain-HTTP-Encrypted-Data,gru,1,1,0,1.0,0.0
attack_type,From-Botnet-V50-9-TCP-CC6-Plain-HTTP-Encrypted-Data,xgboost,1,1,0,1.0,0.0
attack_type,From-Botnet-V50-9-TCP-CC6-Plain-HTTP-Encrypted-Data,xgboost_gru,1,1,0,1.0,0.0
attack_type,From-Botnet-V51-1-TCP-CC106-IRC-Not-Encrypted,gru,1,1,0,1.0,0.0
attack_type,From-Botnet-V51-1-TCP-CC106-IRC-Not-Encrypted,xgboost,1,1,0,1.0,0.0
attack_type,From-Botnet-V51-1-TCP-CC106-IRC-Not-Encrypted,xgboost_gru,1,1,0,1.0,0.0
attack_type,From-Botnet-V51-2-TCP-Established,gru,1,1,0,1.0,0.0
attack_type,From-Botnet-V51-2-TCP-Established,xgboost,1,1,0,1.0,0.0
attack_type,From-Botnet-V51-2-TCP-Established,xgboost_gru,1,1,0,1.0,0.0
attack_type,From-Botnet-V54-TCP-CC6-Plain-HTTP-Encrypted-Data,gru,1,0,1,0.0,1.0
attack_type,From-Botnet-V54-TCP-CC6-Plain-HTTP-Encrypted-Data,xgboost,1,1,0,1.0,0.0
attack_type,From-Botnet-V54-TCP-CC6-Plain-HTTP-Encrypted-Data,xgboost_gru,1,1,0,1.0,0.0
attack_type,From-Botnet-V54-TCP-CC7-Custom-Encryption,gru,1,0,1,0.0,1.0
